Links,Newspaper,Date,State,Headline,Tone,Justification,Type
"https://www.loc.gov/resource/sn92066926/1920-02-04/ed-1/?sp=1&q=women%27s+suffrage+amendment&st=text&r=-0.078,0.092,0.691,0.592,0",The Northern Wyoming Herald,2/4/1920,WY,How Wyoming Solons Ratify Women Suffrage Amendment,Pro,Reports Wyoming legislature ratifying the federal amendment ,News
"https://www.loc.gov/resource/sn93067669/1914-03-18/ed-1/?sp=1&q=women%27s+suffrage+amendment&st=text&r=0.777,0.37,0.385,0.33,0",The Anderson Daily,3/18/1914,SC,Equal Vote An Impossibility,Anti,Reports Senator Borah's argument against woman's sufferage,News
"https://www.loc.gov/resource/sn91066782/1914-05-06/ed-1/?sp=2&q=women%27s+suffrage+amendment&st=text&r=0.125,0.484,0.367,0.315,0",The Barre Daily Times,5/6/1914,VT,Suffrage Fight On House Floor,Pro,Reports legistative progress for women's suffrage,News
"https://www.loc.gov/resource/sn87062268/1913-05-08/ed-1/?sp=1&q=women%27s+suffrage+amendment&st=text&r=0.371,0.199,0.394,0.338,0",The Pensacola Journal,5/8/1913,FL,Senate Committee on Elections Makes A Favorable Report On The Women Suffrage Amendment,Pro,Reports senate committee's support for suffrage amendment,News
"https://www.loc.gov/resource/sn86092557/1914-03-06/ed-1/?sp=4&q=women%27s+suffrage+amendment&st=text&r=0.124,1.149,0.37,0.317,0",The Fairmont West Virginian,3/6/1914,WV,Will Declare War on Senator,Pro,Presents Mrs. Belmont's warning as a strategic political opinion advocating suffrage,Editorial
"https://www.loc.gov/resource/sn91050127/1918-12-06/ed-1/?sp=2&q=women%27s+suffrage+amendment&st=text&r=0.713,0.447,0.355,0.304,0",Conway Weekly times,12/6/1918,AR,Women Win Suffrage In Oklahoma,Pro,Reports factual outcome of women's suffrage amendment,News
"https://www.loc.gov/resource/sn83045433/1914-04-12/ed-1/?sp=32&q=anti-suffrage&st=text&r=0.053,0.221,0.414,0.355,0",The Washington Herald,4/12/1914,DC,Ida Husted Harper On Women Sufferage,Anti,Harper claims women won't vote if enfranchised,Opinion
"https://www.loc.gov/resource/sn89060379/1915-09-25/ed-1/?sp=4&q=anti-suffrage&st=text&r=0.317,0.293,0.71,0.609,0",Maryland Suffrage News,9/25/1915,MD,The Bay State Answer On Liquour,Pro,Massachusetts Woman Suffrage Association refutes claims linking suffrage with liquor interests,Opinion
"https://www.loc.gov/resource/sn83030214/1918-05-19/ed-2/?sp=49&q=anti-suffrage&st=text&r=0.391,0.457,0.596,0.511,0",New York Tribune,5/19/1918,NY,Women Anti-Suffrage Party,Anti,Explains structure and purpose of anti-suffrage,News
"https://www.loc.gov/resource/sn85042354/1915-08-25/ed-1/?sp=6&q=anti-suffrage&st=text&r=0.233,-0.018,0.454,0.389,0",The Evening Journal,8/25/1915,DE,Anti-Suffrage Notes,Neutral,Explains anti-suffrage position on equal guardianship,
"https://www.loc.gov/resource/sn83045433/1911-03-26/ed-1/?sp=11&q=suffrage&st=text&r=0.028,0.502,0.484,0.415,0",The Washington Herald,3/26/1911,DC,Five Governors and One Ex-Governor to Speak for Woman Sufferage,Pro,Highlights states and governors supporting it,
"https://www.loc.gov/resource/sn83030214/1919-06-09/ed-1/?sp=6&q=suffrage&st=text&r=0.198,0.211,0.553,0.474,0",New York Tribune,6/9/1919,NY,First State Will Ratify Suffrage Act This Week,Pro,Provides factual reporting on legislative action,News
"https://www.loc.gov/resource/sn83045433/1914-09-20/ed-1/?sp=19&q=suffrage&st=text&r=0.027,0.156,0.368,0.316,0",The Washington Herald,9/20/1914,DC,"""Down with the Democrats"" is Cry of Suffragists",Pro,Encourages strategic national polical action by suffragists,Editorial
